,precision,recall,f1-score,support
0,0.92573402417962,0.9736603088101726,0.9490925188136343,1101.0
1,0.6282051282051282,0.362962962962963,0.460093896713615,135.0
accuracy,0.906957928802589,0.906957928802589,0.906957928802589,0.906957928802589
macro avg,0.7769695761923741,0.6683116358865678,0.7045932077636247,1236.0
weighted avg,0.8932369360270662,0.906957928802589,0.8956824751376612,1236.0
