,precision,recall,f1-score,support
0,0.942652329749104,0.9554950045413261,0.9490302210193956,1101.0
1,0.5916666666666667,0.5259259259259259,0.5568627450980392,135.0
accuracy,0.9085760517799353,0.9085760517799353,0.9085760517799353,0.9085760517799353
macro avg,0.7671594982078853,0.740710465233626,0.7529464830587174,1236.0
weighted avg,0.9043165170337893,0.9085760517799353,0.9061963947658496,1236.0
