,precision,recall,f1-score,support
0,0.9251290877796902,0.9763851044504995,0.9500662836942112,1101.0
1,0.6486486486486487,0.35555555555555557,0.45933014354066987,135.0
accuracy,0.9085760517799353,0.9085760517799353,0.9085760517799353,0.9085760517799353
macro avg,0.7868888682141695,0.6659703300030275,0.7046982136174406,1236.0
weighted avg,0.894930981563921,0.9085760517799353,0.896466462560936,1236.0
