,precision,recall,f1-score,support
0,0.936436884512086,0.9500454132606722,0.9431920649233545,1101.0
1,0.5378151260504201,0.4740740740740741,0.5039370078740157,135.0
accuracy,0.8980582524271845,0.8980582524271845,0.8980582524271845,0.8980582524271845
macro avg,0.737126005281253,0.7120597436673731,0.7235645363986851,1236.0
weighted avg,0.8928981002140883,0.8980582524271845,0.8952151776242763,1236.0
