model_name,dataset,accuracy,precision,recall,f1,roc_auc
Logistic Regression,Selected_Features,0.9085760517799353,0.6486486486486487,0.35555555555555557,0.45933014354066987,0.921643623641807
Decision Tree,Selected_Features,0.8980582524271845,0.5378151260504201,0.4740740740740741,0.5039370078740157,0.8885625862010967
Random Forest,Selected_Features,0.8932038834951457,0.5128205128205128,0.4444444444444444,0.47619047619047616,0.9252363171527567
XGBoost,Selected_Features,0.9061488673139159,0.5811965811965812,0.5037037037037037,0.5396825396825397,0.9279039257240892
SVM,Selected_Features,0.906957928802589,0.6282051282051282,0.362962962962963,0.46009389671361506,0.9184747872304638
Gradient Boosting,Selected_Features,0.906957928802589,0.6111111111111112,0.4074074074074074,0.4888888888888889,0.9263497830255324
