,precision,recall,f1-score,support
0,0.9301919720767888,0.9682107175295186,0.9488206497552292,1101.0
1,0.6111111111111112,0.4074074074074074,0.4888888888888889,135.0
accuracy,0.906957928802589,0.906957928802589,0.906957928802589,0.906957928802589
macro avg,0.77065154159395,0.687809062468463,0.718854769322059,1236.0
weighted avg,0.8953409071654891,0.906957928802589,0.898585384612061,1236.0
