model_name,dataset,accuracy,precision,recall,f1,roc_auc
Voting_Hard,Selected_Features,0.9021035598705501,0.5760869565217391,0.3925925925925926,0.4669603524229075,
Voting_Soft,Selected_Features,0.9061488673139159,0.6021505376344086,0.4148148148148148,0.49122807017543857,0.9245231607629427
Stacking,Selected_Features,0.9045307443365695,0.5825242718446602,0.4444444444444444,0.5042016806722689,0.9258889225283412
XGBoost_Advanced,Selected_Features,0.8964401294498382,0.5175879396984925,0.762962962962963,0.6167664670658684,0.933128132674
